,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
44,Colorado County,20326,20125,20328,20507,20450,20493,20608,20648,20818,20784,20872,20806,20724,20717,20696,20951,21081,21291,21305,21493,both
45,Comal County,78583,80630,82797,84837,88119,91018,95637,99540,103272,106350,109306,112113,114873,118627,123214,128795,134343,140721,148141,156209,both
46,Comanche County,13998,13710,13582,13526,13646,13746,13814,13775,13834,13912,13953,13867,13723,13554,13472,13395,13543,13533,13540,13635,both
47,Concho County,3963,3921,3959,3991,4018,4039,3957,4018,4108,4076,4102,4124,4085,4122,4089,4072,4140,2707,2683,2726,both
48,Cooke County,36433,36844,37390,37598,37815,38143,38241,38252,38223,38413,38472,38443,38717,38456,38764,39170,39343,39932,40504,41257,both
49,Coryell County,75199,74083,73135,71364,71943,72610,72217,73324,74552,74673,75651,76625,78458,76761,76166,76145,74803,74760,74741,75951,both
50,Cottle County,1883,1774,1726,1699,1679,1653,1577,1513,1527,1509,1512,1507,1485,1442,1429,1439,1402,1375,1382,1398,both
51,Crane County,3951,3893,3891,3847,3865,3840,3855,3976,4157,4333,4382,4358,4525,4718,4897,4995,4779,4685,4755,4797,both
52,Crockett County,4012,3844,3841,3862,3857,3851,3739,3759,3783,3740,3701,3652,3705,3763,3790,3735,3642,3535,3439,3464,both
53,Crosby County,7053,6955,6852,6718,6625,6521,6466,6262,6192,6057,6026,6044,6036,5924,5825,5918,5911,5849,5764,5737,both
54,Culberson County,2948,2865,2829,2778,2695,2648,2587,2536,2490,2384,2403,2393,2316,2306,2282,2254,2220,2230,2194,2171,both
55,Dallam County,6224,6210,6159,6148,6208,6238,6205,6336,6506,6571,6747,6888,7059,7110,7214,7301,7357,7272,7303,7287,both
56,Dallas County,2220848,2249418,2250326,2246432,2244020,2250830,2275434,2291891,2314018,2346378,2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,both
57,Dawson County,14935,14863,14429,14354,14062,14092,13987,13865,13804,13741,13826,13747,13611,13219,13445,12987,12999,12744,12605,12728,both
58,Deaf Smith County,18515,18391,18439,18454,18671,18737,18770,18916,19054,19084,19467,19522,19373,19180,19123,18825,18846,18753,18711,18546,both
59,Delta County,5323,5295,5366,5310,5409,5314,5355,5199,5252,5180,5242,5147,5242,5120,5142,5159,5147,5276,5332,5331,both
60,Denton County,438791,463688,487617,509732,529811,553669,584561,609001,630104,649702,666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,both
61,DeWitt County,19943,20066,20015,20034,20176,20342,20108,19961,19902,20048,20054,20205,20358,20377,20518,20632,20623,20180,20106,20160,both
62,Dickens County,2724,2653,2679,2670,2641,2563,2466,2461,2400,2423,2447,2401,2322,2297,2215,2204,2193,2190,2218,2211,both
63,Dimmit County,10160,10030,10042,10075,9964,10031,9972,9845,9833,9848,10043,10109,10471,10894,10987,10910,10679,10282,10195,10124,both
64,Donley County,3813,3829,3825,3898,3915,3833,3779,3806,3688,3670,3734,3686,3645,3561,3483,3391,3387,3340,3315,3278,both
65,Duval County,13007,12830,12707,12570,12539,12426,12298,12097,11945,11917,11724,11796,11582,11581,11509,11336,11431,11270,11147,11157,both
66,Eastland County,18296,18061,18252,18333,18442,18533,18545,18636,18520,18497,18594,18582,18459,18279,18257,18152,18240,18294,18319,18360,both
67,Ector County,120694,120802,122199,122739,124163,125378,127476,130459,133064,136930,137075,139642,144495,149656,154588,159903,157858,156951,161960,166223,both
68,Edwards County,2143,2070,2056,2042,2027,2011,1995,2062,2084,2012,1999,1979,1990,1899,1904,1910,1908,1929,1908,1932,both
69,Ellis County,112330,115286,118737,122620,125733,129955,135276,139988,144394,147392,150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,both
70,El Paso County,681729,689163,696446,705200,717652,728095,744795,755578,769930,786759,803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,both
71,Erath County,33057,33045,33619,34131,34887,35336,36355,36678,37137,37594,37912,38922,39405,39886,40514,41191,41372,41723,42223,42698,both
72,Falls County,18522,18280,18090,18086,18066,17990,17945,17712,17698,17762,17891,17848,17570,17242,17210,17216,17276,17340,17231,17297,both
73,Fannin County,31334,31400,31808,32380,32692,33221,33540,33644,33870,33865,33920,33878,33601,33510,33593,33502,33933,34550,35185,35514,both
74,Fayette County,21864,22397,22668,22910,23107,23342,23631,23898,24347,24470,24556,24749,24661,24721,24782,24945,25018,25119,25278,25346,both
75,Fisher County,4340,4257,4242,4191,4118,4135,4098,4080,4065,4014,3959,3947,3838,3859,3874,3877,3877,3874,3821,3830,both
76,Floyd County,7734,7452,7289,7364,7130,6983,6855,6683,6528,6508,6403,6368,6348,6245,5947,5843,5847,5830,5783,5712,both
77,Foard County,1594,1606,1536,1513,1492,1439,1432,1383,1334,1321,1344,1361,1310,1286,1275,1225,1200,1202,1191,1155,both
78,Fort Bend County,358738,375708,397943,418747,441139,462953,490916,516564,542957,569130,590253,606064,624824,651847,684048,715331,744160,767712,788081,811688,both
79,Franklin County,9459,9521,9536,9597,9731,10745,10755,10799,10604,10601,10607,10562,10637,10615,10563,10603,10677,10798,10778,10725,both
80,Freestone County,17902,18127,18395,18483,18684,18843,19123,19162,19446,19743,19803,19602,19484,19597,19677,19746,19669,19649,19789,19717,both
81,Frio County,16203,16315,16467,16477,16532,16618,16720,16776,16939,17120,17256,17492,17931,18400,18938,19361,19584,19895,20211,20306,both
82,Gaines County,14473,14451,14453,14747,14978,15331,15707,16187,16641,17163,17588,17908,18307,18807,19335,20217,20446,20553,20820,21492,both
83,Galveston County,250675,254521,260096,265269,269760,274806,279182,283770,288643,287428,292484,295605,301049,306589,313367,320974,328820,334633,337858,342139,both
84,Garza County,4904,5275,5385,5531,5800,5742,5996,6049,6158,6368,6467,6560,6418,6371,6417,6391,6212,6490,6243,6229,both
85,Gillespie County,20902,21104,21585,22128,22454,22858,23487,23787,24206,24608,24874,25039,25175,25363,25473,25916,26206,26483,26702,26988,both
86,Glasscock County,1407,1351,1339,1332,1290,1273,1202,1164,1218,1224,1232,1238,1280,1271,1328,1380,1365,1363,1391,1409,both
87,Goliad County,7007,7020,7051,7135,7071,7070,7121,7142,7164,7157,7219,7208,7331,7452,7506,7513,7512,7552,7588,7658,both
88,Gonzales County,18642,18714,18882,19181,19370,19656,19633,19512,19538,19628,19797,19755,19930,20143,20347,20510,20787,20742,20781,20837,both
89,Gray County,22578,22171,21940,21762,21551,21776,22100,22438,22772,22719,22470,22661,22920,22996,23432,23265,22741,22106,22051,21886,both
90,Grayson County,110939,112330,113239,114421,114998,115666,117174,118331,118834,120069,121034,121430,121854,122362,123599,125628,128291,131152,133787,136212,both
91,Gregg County,111255,111791,112767,113775,114541,115402,117118,118260,119157,121238,121984,122656,123089,123233,123146,123800,123367,122852,123251,123945,both
92,Grimes County,23601,24219,24736,25016,25209,25350,25639,26046,26273,26422,26616,26655,26679,26792,26997,27299,27494,27955,28291,28880,both
93,Guadalupe County,89841,92626,95246,98137,101495,105585,111878,117667,123398,128265,132587,135809,139641,142881,146811,150578,154492,159639,163276,166847,both
94,Hale County,36581,35876,35598,35553,36259,36066,36162,36080,35662,35926,36269,36381,36258,35676,34451,34034,34107,33954,33631,33406,both
95,Hall County,3749,3750,3709,3699,3665,3613,3582,3440,3398,3343,3359,3312,3268,3164,3075,3094,3113,3042,3025,2964,both
96,Hamilton County,8239,8169,8069,8225,8181,8263,8389,8452,8497,8527,8465,8389,8249,8241,8160,8080,8237,8407,8477,8461,both
97,Hansford County,5347,5299,5242,5216,5209,5258,5293,5365,5512,5556,5599,5580,5534,5547,5561,5654,5592,5485,5470,5399,both
98,Hardeman County,4718,4609,4547,4534,4474,4417,4409,4296,4187,4086,4159,4159,4097,4065,3990,3920,3982,3959,3929,3933,both
99,Hardin County,48162,48463,49045,49472,50220,51141,51470,52446,53206,54228,54784,55070,55122,55305,55510,55758,56242,57117,57107,57602,both
100,Harris County,3414239,3471291,3536682,3586133,3630185,3681829,3807435,3863344,3938580,4034866,4107666,4179568,4263094,4353187,4455994,4557846,4623960,4657972,4680045,4713325,both
101,Harrison County,62040,62256,62062,62018,62583,62811,63699,63661,64107,65185,65765,66338,66256,66267,66581,66685,66611,66468,66584,66553,both
102,Hartley County,5561,5601,5364,5789,5800,5794,5911,6047,5820,5970,6064,6031,6090,5999,6055,5702,5740,5716,5611,5576,both
103,Haskell County,6062,6034,5915,5883,5851,5904,5817,5802,5839,5862,5879,5959,5885,5901,5811,5821,5751,5699,5699,5658,both
104,Hays County,99267,104739,111397,115665,119395,125302,132111,140480,147674,153619,158214,163270,168519,176035,184854,194662,204546,214726,222706,230191,both
105,Hemphill County,3335,3327,3357,3362,3410,3480,3523,3538,3680,3802,3795,3956,4093,4153,4165,4277,4101,3929,3845,3819,both
106,Henderson County,73332,73762,74712,76349,77807,78001,78404,78178,78033,78231,78665,78837,78992,78669,79324,79492,80062,80954,82103,82737,both
107,Hidalgo County,573216,590067,610520,632475,653779,674982,695352,715264,736694,757468,779149,795517,808334,818619,829819,839667,848960,856249,862298,868707,both
108,Hill County,32539,32766,33120,33755,34064,34203,34484,34650,34997,35005,35144,35200,35157,34851,34767,34828,35102,35703,36165,36649,both
109,Hockley County,22670,22662,22745,22955,22919,23094,22912,22844,22958,23086,22853,22931,23074,23408,23463,23310,23043,22977,22971,23021,both
110,Hood County,41323,42425,43344,44448,45411,46470,47952,48870,50112,50841,51268,51563,52129,52860,53812,55227,56569,57973,60177,61643,both
111,Hopkins County,31999,32203,32335,32625,33061,33330,33746,34331,34472,34919,35208,35259,35312,35299,35686,35973,36184,36451,36738,37084,both
112,Houston County,23135,23122,23257,23336,23578,23500,23551,23641,23635,23660,23682,23434,23213,22809,22809,22747,22897,23089,23068,22968,both
113,Howard County,33489,33279,33479,33396,33403,33277,33328,33817,34393,34882,34993,34990,35495,36185,36542,37123,36214,35817,35925,36664,both
114,Hudspeth County,3357,3405,3398,3345,3345,3416,3459,3462,3374,3423,3472,3412,3357,3339,3306,3541,4254,4604,4788,4886,both
115,Hunt County,76932,78431,80234,80958,82092,82822,83770,84351,84447,85261,86365,86687,86979,87429,88639,89670,91895,94046,96606,98594,both
116,Hutchinson County,23778,23247,23116,22773,22478,22209,22176,22138,21851,22184,22214,22024,22022,21921,21915,21793,21528,21343,21119,20938,both
117,Irion County,1758,1673,1697,1672,1629,1613,1649,1609,1571,1587,1607,1592,1573,1610,1574,1543,1562,1512,1516,1536,both
118,Jack County,8752,8710,8916,8965,9028,9092,9177,9068,9030,9057,9004,9030,8992,8951,8880,8883,8789,8828,8825,8935,both
119,Jackson County,14397,14187,14172,14070,14039,14037,13954,13857,13957,14089,14091,14048,14271,14610,14723,14808,14873,14806,14834,14760,both
120,Jasper County,35552,35722,35692,35580,35493,35558,34861,35069,35170,35331,35777,36204,35854,35617,35424,35266,35417,35549,35769,35529,both
121,Jeff Davis County,2233,2234,2201,2235,2242,2249,2264,2277,2316,2326,2344,2282,2296,2231,2217,2199,2231,2260,2243,2274,both
122,Jefferson County,251667,250137,250146,250183,250638,250849,245962,247629,249430,251332,252455,253494,251605,253079,252897,255112,255748,256041,253234,251565,both
123,Jim Hogg County,5275,5194,5220,5148,5173,5194,5160,5131,5198,5260,5287,5289,5277,5263,5328,5296,5257,5212,5192,5200,both
124,Jim Wells County,39361,39701,39821,40008,40309,40449,40393,40654,40554,40633,40894,41224,41651,41681,41504,41523,41181,40920,40756,40482,both
125,Johnson County,127627,130795,133399,136264,138833,140692,142501,145123,148635,150583,151264,152094,153415,154535,156733,159345,162763,167012,171121,175817,both
126,Jones County,20754,20294,20293,20355,20298,20232,20242,20102,20131,20093,20238,20270,19870,20044,19850,19966,19971,19827,19866,20083,both
127,Karnes County,15403,15340,15178,15119,15109,14967,14985,14900,14867,14805,14889,14959,14859,14727,14910,15413,15494,15556,15660,15601,both
128,Kaufman County,72270,75223,77693,81322,84240,87388,91395,95694,99285,101709,103872,105199,106553,108248,110872,114055,117904,122628,128279,136154,both
129,Kendall County,23980,24433,24975,25892,26650,27849,29134,30330,31754,32655,33589,34421,35551,37133,38363,39938,41903,43969,45603,47431,both
130,Kenedy County,420,421,429,428,440,457,426,415,410,403,417,438,447,438,437,441,436,427,437,404,both
131,Kent County,833,808,815,795,791,784,770,788,787,793,812,813,825,782,748,747,748,759,726,762,both
132,Kerr County,43848,44331,44894,45278,46054,46809,47840,48352,48852,49427,49643,49641,49719,49787,50343,50880,51426,51892,52415,52600,both
133,Kimble County,4484,4494,4521,4510,4562,4609,4578,4518,4520,4623,4601,4594,4525,4461,4464,4391,4413,4385,4338,4337,both
134,King County,358,313,308,311,316,289,285,284,272,279,288,258,270,273,263,282,292,289,276,272,both
135,Kinney County,3387,3419,3463,3394,3395,3449,3488,3546,3507,3568,3590,3607,3639,3632,3554,3589,3636,3711,3692,3667,both
136,Kleberg County,31590,31315,31413,31339,31362,31242,31149,31370,31555,31876,32037,32029,32097,32021,31891,31413,31304,30752,30722,30680,both
137,Knox County,4253,4070,4044,4018,3940,3822,3788,3721,3650,3647,3723,3722,3730,3722,3801,3792,3732,3674,3662,3664,both
138,Lamar County,48596,48522,48826,49159,49233,49344,49386,49387,49467,49600,49820,49861,49656,49092,49411,49373,49528,49568,49729,49859,both
139,Lamb County,14663,14566,14658,14675,14584,14583,14338,14270,14036,13791,13993,14059,13863,13663,13484,13259,13195,13165,13103,12893,both
140,Lampasas County,17900,18027,18425,18579,19664,18906,19472,19728,19812,19652,19762,19924,20054,20142,20106,20362,20524,20861,21134,21428,both
141,La Salle County,5898,5934,6098,6169,6322,6542,6549,6675,6653,6771,6913,7002,7157,7444,7481,7637,7596,7530,7493,7520,both
142,Lavaca County,19190,18958,19101,19152,19130,19185,19181,19238,19185,19226,19256,19311,19528,19631,19779,19919,19891,20028,20114,20154,both
143,Lee County,15701,16008,16131,16234,16220,16330,16348,16421,16550,16565,16591,16556,16505,16545,16621,16868,16975,17109,17097,17239,both
144,Leon County,15395,15452,15718,15795,15837,16104,16334,16390,16832,16862,16723,16829,16741,16620,16730,17028,17200,17235,17260,17404,both
145,Liberty County,70576,71679,73280,73734,74285,74303,74269,74515,74915,75041,75859,75990,76370,76849,78045,79537,81354,83597,85802,88219,both
146,Limestone County,22053,22159,22486,22721,22942,22919,23093,23090,23065,23173,23492,23591,23686,23440,23529,23442,23472,23391,23343,23437,both
147,Lipscomb County,3025,2948,3033,3097,3028,3057,3115,3178,3183,3326,3283,3334,3447,3490,3553,3559,3494,3364,3342,3233,both
148,Live Oak County,12233,12071,11955,11768,11689,11631,11559,11528,11479,11410,11556,11507,11655,11817,12057,12173,12023,12146,12148,12207,both
149,Llano County,17077,17499,17872,18153,18220,18425,18502,18935,19034,19175,19336,19073,19266,19509,19666,20081,20592,21167,21600,21795,both
150,Loving County,65,66,75,72,55,70,75,79,61,77,84,95,86,106,89,119,117,133,148,169,both
151,Lubbock County,243109,246616,249407,253388,255669,257779,261761,265215,268197,274252,280301,283408,285961,289515,294433,298337,302094,305413,307627,310569,both
152,Lynn County,6489,6444,6421,6232,6172,6178,6192,5989,5932,5927,5914,5886,5796,5728,5798,5746,5775,5832,5848,5951,both
153,McCulloch County,8175,8034,7927,8033,8164,8117,8183,8105,8203,8365,8231,8254,8241,8243,8152,8255,8124,7941,7982,7984,both
154,McLennan County,213967,215099,216571,218744,221353,222794,224452,226741,229037,231679,235917,237852,239368,241443,243166,245444,247553,251631,254196,256623,both
