,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
198,Rockwall County,43755,46697,50078,53397,56477,60349,66117,70851,73929,76654,78919,81045,82710,84670,87064,90170,93421,96824,100546,104915,both
199,Runnels County,11458,11148,11002,10815,10774,10842,10587,10506,10444,10392,10508,10500,10335,10196,10294,10387,10276,10282,10178,10264,both
200,Rusk County,47456,47837,48244,48540,49160,49703,50415,51278,52195,52799,53361,53702,53793,53332,53212,52965,52892,54213,54301,54406,both
201,Sabine County,10388,10435,10477,10482,10498,10445,10583,10541,10565,10721,10871,10727,10524,10424,10428,10440,10381,10417,10576,10542,both
202,San Augustine County,8959,8860,8985,9034,9085,9060,9128,9048,9039,8938,8854,8799,8789,8663,8481,8349,8288,8302,8254,8237,both
203,San Jacinto County,22549,22897,23415,24100,24756,25014,25151,25719,25889,26086,26474,26780,26942,26731,27049,27361,27732,28231,28717,28859,both
204,San Patricio County,67333,66690,66820,66440,66990,67232,67022,66723,66417,65751,64431,64458,65260,66134,66656,67117,67311,67210,66671,66730,both
205,San Saba County,6268,6181,6042,5981,6045,5982,5985,5985,5965,6026,6134,6047,5990,5960,5858,5922,5922,5996,6060,6055,both
206,Schleicher County,2929,3016,3036,2958,2991,3071,3085,3198,3255,3311,3503,3310,3259,3191,3164,3195,3057,2989,2880,2793,both
207,Scurry County,16251,15838,15982,15931,16118,16085,16232,16431,16478,16806,16928,16868,17125,17272,17377,17570,17394,17003,16812,16703,both
208,Shackelford County,3297,3334,3388,3349,3290,3286,3287,3357,3314,3362,3383,3334,3361,3375,3316,3333,3337,3289,3256,3265,both
209,Shelby County,25212,25171,25155,25407,25212,25299,25324,25433,25381,25520,25458,25733,26062,25977,25607,25373,25566,25225,25307,25274,both
210,Sherman County,3181,3131,3164,3113,3045,2970,2946,2969,3035,3018,3025,3014,3039,3070,3065,3058,3070,3046,3101,3022,both
211,Smith County,175658,177836,181107,184254,187300,191362,196124,199953,203263,207111,210408,212764,214811,216475,219642,222390,225161,227195,229749,232751,both
212,Somervell County,6940,7017,7229,7400,7502,7629,7853,7996,8233,8415,8500,8426,8554,8566,8559,8618,8671,8855,9030,9128,both
213,Starr County,53733,54294,55412,56704,57857,58284,59050,59529,59763,60384,61134,61642,61970,62381,62965,63484,63894,64130,64249,64633,both
214,Stephens County,9636,9455,9374,9407,9327,9409,9450,9513,9556,9675,9620,9536,9614,9371,9342,9385,9377,9287,9405,9366,both
215,Sterling County,1358,1341,1326,1285,1261,1198,1124,1152,1169,1160,1137,1170,1191,1229,1340,1333,1339,1287,1304,1291,both
216,Stonewall County,1664,1568,1487,1452,1427,1393,1425,1439,1443,1433,1496,1463,1452,1418,1388,1398,1401,1376,1352,1350,both
217,Sutton County,4024,4032,4072,4029,4124,4203,4299,4314,4321,4272,4062,3987,3916,3982,3969,3915,3886,3792,3752,3776,both
218,Swisher County,8341,8248,8071,8062,8004,7910,7901,7855,7802,7680,7918,7804,7845,7720,7554,7477,7428,7446,7413,7397,both
219,Tarrant County,1456919,1490204,1524249,1553086,1580595,1612048,1662005,1707157,1745602,1784078,1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515,both
220,Taylor County,126649,125920,125920,125542,126702,127248,127838,128503,128903,130247,131835,132853,134084,133927,134987,136133,136257,136634,137294,138034,both
221,Terrell County,1059,1017,1009,995,939,942,921,886,884,930,1011,950,921,891,910,867,818,814,810,776,both
222,Terry County,12705,12473,12559,12534,12532,12417,12448,12424,12394,12550,12682,12661,12632,12713,12795,12759,12770,12429,12344,12337,both
223,Throckmorton County,1831,1791,1739,1702,1652,1695,1710,1653,1635,1654,1639,1637,1610,1606,1613,1559,1537,1510,1504,1501,both
224,Titus County,28138,28100,28387,28947,29461,28803,29541,30231,30963,31749,32419,32452,32612,32587,32502,32626,32463,32619,32743,32750,both
225,Tom Green County,104083,103923,104035,104330,104744,104974,106125,106680,107639,108879,110678,111751,113307,114680,116319,117514,117634,117566,118014,119200,both
226,Travis County,819692,844877,848090,856315,870809,891266,925151,955399,980699,1006503,1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954,both
227,Trinity County,13793,13852,14033,14156,14246,14395,14376,14425,14380,14472,14729,14686,14372,14445,14298,14539,14543,14677,14688,14651,both
228,Tyler County,20854,20657,20825,20823,21038,20935,21034,21279,21570,21737,21764,21674,21504,21508,21468,21370,21423,21517,21609,21672,both
229,Upshur County,35402,35746,36739,37232,37530,37957,38004,38275,38706,39084,39377,39731,39918,39757,40280,40317,40771,41069,41179,41753,both
230,Upton County,3376,3231,3273,3202,3168,3117,3174,3123,3231,3327,3338,3284,3263,3386,3482,3652,3690,3658,3637,3657,both
231,Uvalde County,25900,25939,26309,26258,26205,26368,26301,26217,26206,26223,26443,26588,26746,26904,27022,26949,27081,27043,26787,26741,both
232,Val Verde County,45020,45144,45495,46184,46941,47108,47401,47676,47882,48463,48971,48972,48976,49044,48845,48891,48911,49028,48988,49025,both
233,Van Zandt County,48324,48932,49953,50293,51366,51579,52194,52151,52470,52359,52579,52487,52207,52328,52781,53430,54367,55163,55966,56590,both
234,Victoria County,83937,84491,84573,84674,84718,84453,84528,85261,85762,86635,86883,87557,89116,90066,91042,92136,92402,92045,91878,92084,both
235,Walker County,61768,62444,62216,63609,64551,65676,65591,65517,65726,66748,68241,68409,68609,69404,70076,70836,71845,72816,73136,72971,both
236,Waller County,32843,33747,35060,36333,36850,37242,38260,39809,40578,42087,43519,44101,44335,45408,46765,48641,50046,51717,53512,55246,both
237,Ward County,10808,10459,10337,10237,10189,10232,10301,10275,10588,10734,10594,10671,10823,11205,11571,11631,11571,11383,11709,11998,both
238,Washington County,30423,30433,30741,30995,31330,31710,32199,32434,32869,33459,33708,33966,33930,34201,34403,34836,34740,34861,35496,35882,both
239,Webb County,194576,200347,206001,211786,217858,223703,229307,234594,240287,245908,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652,both
240,Wharton County,41220,40991,40915,41026,40992,40987,41073,40845,40893,40998,41281,41287,41136,41122,41095,41383,41609,41837,41499,41556,both
241,Wheeler County,5253,5170,5094,4926,4934,4945,5055,5138,5199,5375,5387,5446,5589,5716,5696,5658,5518,5300,5158,5056,both
242,Wichita County,131817,130790,130761,130411,131677,130767,131376,130564,130340,130913,131794,130803,131701,132192,132646,130961,131295,131689,131807,132230,both
243,Wilbarger County,14613,14299,14248,14023,13879,13830,13835,13746,13506,13575,13509,13452,13289,13204,12988,13055,12880,12683,12777,12769,both
244,Willacy County,20076,20016,20198,20418,20767,21229,21463,21576,21763,21862,22225,22167,22208,22019,21935,21863,21761,21508,21450,21358,both
245,Williamson County,255379,276940,290112,302895,316532,332169,351970,373723,395437,410800,426287,442031,455750,470017,487913,507133,527622,546251,566463,590551,both
246,Wilson County,32721,33408,34254,35458,36721,37706,39007,40354,41657,42181,43051,43667,44353,45217,46145,47178,48212,49211,50196,51070,both
247,Winkler County,7083,7056,6960,6738,6735,6578,6642,6775,7024,7128,7085,7165,7371,7635,7819,8027,7915,7605,7778,8010,both
248,Wise County,49373,50927,52381,53691,54497,55613,56569,57247,58181,59134,59115,59967,60424,61019,61702,62857,64478,65848,68284,69984,both
249,Wood County,36811,37288,37633,38915,39600,39917,41099,41414,41722,41870,41977,42092,42383,42346,42764,43117,43753,44263,45157,45539,both
250,Yoakum County,7274,7299,7212,7235,7362,7404,7404,7588,7765,7908,7851,7971,8055,8222,8398,8644,8652,8557,8590,8713,both
251,Young County,17846,17659,17665,17892,17921,17801,18227,18135,18104,18466,18522,18355,18278,18354,18274,18163,18098,17922,17986,18010,both
252,Zapata County,12088,12266,12514,12584,12727,13043,13069,13388,13640,13876,14087,14227,14276,14385,14376,14493,14446,14254,14149,14179,both
253,Zavala County,11636,11596,11616,11513,11512,11565,11642,11657,11725,11544,11729,11875,12014,12195,12243,12310,12121,11957,11969,11840,both
