,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
28,Holmes County,18553,18757.0,18880.0,19254.0,19319.0,19523.0,19824.0,19991.0,20141.0,20147.0,FL,19843,19838.0,19697.0,19594.0,19564.0,19273.0,19398.0,19427.0,19443.0,19617.0,both
29,Indian River County,113323,115456.0,118144.0,120450.0,125001.0,127955.0,131463.0,134564.0,136277.0,137016.0,FL,138270,139103.0,140473.0,141895.0,144445.0,147434.0,151159.0,154241.0,157187.0,159923.0,both
30,Jackson County,46701,46242.0,46139.0,46274.0,46946.0,47930.0,48265.0,48368.0,50272.0,50064.0,FL,49648,49197.0,49109.0,48880.0,48730.0,48609.0,48299.0,48289.0,48112.0,46414.0,both
31,Jefferson County,12891,12871.0,13316.0,13602.0,14030.0,14210.0,14461.0,14383.0,14606.0,14704.0,FL,14755,14529.0,14219.0,14209.0,14056.0,14115.0,13960.0,14165.0,14321.0,14246.0,both
32,Lafayette County,7011,7153.0,7287.0,7356.0,7630.0,8131.0,8341.0,8398.0,8465.0,8435.0,FL,8808,8798.0,8791.0,8819.0,8862.0,8724.0,8747.0,8602.0,8691.0,8422.0,both
33,Lake County,212347,222297.0,231519.0,241489.0,254625.0,267587.0,281329.0,289909.0,293654.0,295511.0,FL,297709,300505.0,303725.0,307973.0,315340.0,325154.0,334913.0,345432.0,356720.0,367118.0,both
34,Lee County,444311,461037.0,478889.0,497662.0,522431.0,555029.0,582678.0,604716.0,610984.0,612297.0,FL,620449,631053.0,644197.0,659834.0,677232.0,699644.0,722649.0,740000.0,754470.0,770577.0,both
35,Leon County,240571,242583.0,245404.0,250673.0,254188.0,258083.0,263076.0,268519.0,271130.0,273263.0,FL,275971,278371.0,283620.0,281887.0,283770.0,285904.0,286744.0,290965.0,291657.0,293582.0,both
36,Levy County,34644,35118.0,35964.0,36530.0,37510.0,38355.0,39447.0,40204.0,40809.0,40880.0,FL,40720,40151.0,39823.0,39433.0,39296.0,39601.0,39837.0,40276.0,40798.0,41503.0,both
37,Liberty County,6989,7049.0,7231.0,7325.0,7449.0,7820.0,8011.0,8113.0,8323.0,8347.0,FL,8349,8264.0,8301.0,8357.0,8418.0,8409.0,8300.0,8236.0,8427.0,8354.0,both
38,Madison County,18734,18859.0,18707.0,18778.0,19075.0,19070.0,19299.0,19322.0,19347.0,19329.0,FL,19248,19130.0,18972.0,18753.0,18601.0,18478.0,18316.0,18474.0,18540.0,18493.0,both
39,Manatee County,265644,272281.0,279950.0,287000.0,296183.0,306845.0,313771.0,316410.0,318766.0,320711.0,FL,323424,327549.0,333844.0,341855.0,350865.0,362548.0,375373.0,385506.0,394387.0,403253.0,both
40,Marion County,260221,264553.0,271716.0,280091.0,291164.0,303558.0,316310.0,325634.0,330052.0,330880.0,FL,331331,332286.0,333873.0,335083.0,338005.0,342182.0,347469.0,353339.0,359062.0,365579.0,both
41,Martin County,127301,129856.0,132945.0,136598.0,139729.0,141912.0,141802.0,143542.0,144369.0,145506.0,FL,146909,147871.0,148981.0,151126.0,153119.0,155559.0,158325.0,159701.0,160742.0,161000.0,both
42,Miami-Dade County,2259508,2287458.0,2315747.0,2336070.0,2358684.0,2385872.0,2405911.0,2415576.0,2436062.0,2463943.0,FL,2506972,2544531.0,2576554.0,2609692.0,2634269.0,2659839.0,2692213.0,2713295.0,2714854.0,2716940.0,both
43,Monroe County,79470,79038.0,78755.0,78497.0,77616.0,75819.0,73793.0,72906.0,72730.0,72627.0,FL,73220,73967.0,74560.0,75813.0,76261.0,76648.0,76872.0,76483.0,74757.0,74228.0,both
44,Nassau County,57957,59300.0,60816.0,62069.0,63699.0,65568.0,67823.0,69969.0,71557.0,72671.0,FL,73513,74148.0,74519.0,75384.0,76250.0,77951.0,80055.0,82925.0,85936.0,88625.0,both
45,Okaloosa County,171200,172564.0,176257.0,177649.0,182506.0,184045.0,184071.0,182677.0,181752.0,181153.0,FL,180715,183102.0,189762.0,192688.0,194615.0,197748.0,200071.0,203478.0,206934.0,210738.0,both
46,Okeechobee County,35917,36298.0,36776.0,37224.0,38556.0,39247.0,39668.0,39840.0,39968.0,39899.0,FL,40025,39869.0,39710.0,39482.0,39569.0,39854.0,40769.0,41275.0,41654.0,42168.0,both
47,Orange County,903019,931775.0,955136.0,979227.0,1011681.0,1053341.0,1083429.0,1100663.0,1115525.0,1131351.0,FL,1148564,1170579.0,1202498.0,1227435.0,1256606.0,1291301.0,1326516.0,1355921.0,1381540.0,1393452.0,both
