,BUYER_STATE,BUYER_COUNTY,YEAR,MME
118,LA,CLAIBORNE,2012,14117559630.343973
119,LA,CLAIBORNE,2013,13709993454.45
120,LA,CLAIBORNE,2014,10262398992.6
121,LA,CONCORDIA,2006,6694225251.0336
122,LA,CONCORDIA,2007,9129227377.283998
123,LA,CONCORDIA,2008,12720292693.881998
124,LA,CONCORDIA,2009,13130581780.760002
125,LA,CONCORDIA,2010,12327041650.770002
126,LA,CONCORDIA,2011,15547371133.814425
127,LA,CONCORDIA,2012,17730040807.144875
128,LA,CONCORDIA,2013,15711244148.664999
129,LA,CONCORDIA,2014,9678635783.845
130,LA,DE SOTO,2006,6562362661.724625
131,LA,DE SOTO,2007,8037144321.641999
132,LA,DE SOTO,2008,11739010248.0816
133,LA,DE SOTO,2009,9691543697.833637
134,LA,DE SOTO,2010,8303711292.86
135,LA,DE SOTO,2011,9244123101.114325
136,LA,DE SOTO,2012,9192000719.4534
137,LA,DE SOTO,2013,9038236814.858812
138,LA,DE SOTO,2014,8115122016.3838
139,LA,EAST BATON ROUGE,2006,6717194514872.929
140,LA,EAST BATON ROUGE,2007,8620597866504.246
141,LA,EAST BATON ROUGE,2008,11037342472282.646
142,LA,EAST BATON ROUGE,2009,10315514612141.262
143,LA,EAST BATON ROUGE,2010,8629248879280.19
144,LA,EAST BATON ROUGE,2011,8311818003479.578
145,LA,EAST BATON ROUGE,2012,8624556275050.303
146,LA,EAST BATON ROUGE,2013,7899820364951.664
147,LA,EAST BATON ROUGE,2014,5701761673779.934
148,LA,EAST CARROLL,2006,155567261.4975
149,LA,EAST CARROLL,2007,170449620.453
150,LA,EAST CARROLL,2008,199208350.264
151,LA,EAST CARROLL,2009,271915531.85999995
152,LA,EAST CARROLL,2010,308462794.14
153,LA,EAST CARROLL,2011,300243669.88
154,LA,EAST CARROLL,2012,532299053.29999995
155,LA,EAST CARROLL,2013,512722539.87499994
156,LA,EAST CARROLL,2014,611366785.15
157,LA,EAST FELICIANA,2006,1903689048.9275002
158,LA,EAST FELICIANA,2007,2396490279.3719997
159,LA,EAST FELICIANA,2008,2899900184.16
160,LA,EAST FELICIANA,2009,2583122220.3675
161,LA,EAST FELICIANA,2010,2889410184.3
162,LA,EAST FELICIANA,2011,2510478684.0
163,LA,EAST FELICIANA,2012,2203802159.894425
164,LA,EAST FELICIANA,2013,1751950639.5655253
165,LA,EAST FELICIANA,2014,1687257564.7819624
166,LA,EVANGELINE,2006,59502466339.37272
167,LA,EVANGELINE,2007,67528119355.759995
168,LA,EVANGELINE,2008,83283223109.53049
169,LA,EVANGELINE,2009,90337233368.52017
170,LA,EVANGELINE,2010,83988690076.42432
171,LA,EVANGELINE,2011,110023800536.69777
172,LA,EVANGELINE,2012,153095388694.91324
173,LA,EVANGELINE,2013,150230583409.8249
174,LA,EVANGELINE,2014,144704965659.7083
175,LA,FRANKLIN,2006,4964352882.843388
176,LA,FRANKLIN,2007,6653821458.68775
177,LA,FRANKLIN,2008,6589339343.185
178,LA,FRANKLIN,2009,6772965989.94
179,LA,FRANKLIN,2010,6570473558.88
180,LA,FRANKLIN,2011,9588334874.72945
181,LA,FRANKLIN,2012,10890258540.977499
182,LA,FRANKLIN,2013,10320182974.1675
183,LA,FRANKLIN,2014,6496054523.782499
184,LA,GRANT,2006,507228529.37249994
185,LA,GRANT,2007,828731529.3749999
186,LA,GRANT,2008,843221497.705
187,LA,GRANT,2009,1765393173.0449998
188,LA,GRANT,2010,2428704034.4875
189,LA,GRANT,2011,4317163809.4038
190,LA,GRANT,2012,5137345093.0125
191,LA,GRANT,2013,5029249883.0
192,LA,GRANT,2014,4283672948.6319
193,LA,IBERIA,2006,103068898560.35587
194,LA,IBERIA,2007,128914665558.21986
195,LA,IBERIA,2008,173901125512.2928
196,LA,IBERIA,2009,187913595551.14468
197,LA,IBERIA,2010,192671041190.34042
198,LA,IBERIA,2011,252715578249.61545
199,LA,IBERIA,2012,244809269063.68924
200,LA,IBERIA,2013,217011599389.0329
201,LA,IBERIA,2014,149777237530.19925
202,LA,IBERVILLE,2006,29330023974.085
203,LA,IBERVILLE,2007,41873536833.65306
204,LA,IBERVILLE,2008,67439880264.58677
205,LA,IBERVILLE,2009,80075630636.10577
206,LA,IBERVILLE,2010,84573723617.84926
207,LA,IBERVILLE,2011,67994024227.192116
208,LA,IBERVILLE,2012,82078529292.45267
209,LA,IBERVILLE,2013,96376822563.24197
210,LA,IBERVILLE,2014,66701520652.04355
211,LA,JACKSON,2006,4462776571.7363
212,LA,JACKSON,2007,4643920709.69835
213,LA,JACKSON,2008,5375822494.79
214,LA,JACKSON,2009,5690906904.2699995
215,LA,JACKSON,2010,5897432068.5
216,LA,JACKSON,2011,8117526258.9411745
217,LA,JACKSON,2012,8794285698.565
218,LA,JACKSON,2013,7588585905.135
219,LA,JACKSON,2014,6224645666.5
220,LA,JEFFERSON,2006,14752372119630.96
221,LA,JEFFERSON,2007,11130413857386.457
222,LA,JEFFERSON,2008,10953504302258.03
223,LA,JEFFERSON,2009,10140846638854.137
224,LA,JEFFERSON,2010,12202292566493.709
225,LA,JEFFERSON,2011,13261474961489.271
226,LA,JEFFERSON,2012,13018954770223.027
227,LA,JEFFERSON,2013,13485633192364.03
228,LA,JEFFERSON,2014,9636577843687.537
229,LA,JEFFERSON DAVIS,2006,42525305512.936195
230,LA,JEFFERSON DAVIS,2007,48154028510.2032
231,LA,JEFFERSON DAVIS,2008,53602308777.87694
232,LA,JEFFERSON DAVIS,2009,54223429583.3085
233,LA,JEFFERSON DAVIS,2010,45023485429.339424
234,LA,JEFFERSON DAVIS,2011,49434587539.424995
235,LA,JEFFERSON DAVIS,2012,50043755438.43506
236,LA,JEFFERSON DAVIS,2013,47481756997.351
237,LA,JEFFERSON DAVIS,2014,42889354798.7575
238,LA,LA SALLE,2006,6026318896.6512
239,LA,LA SALLE,2007,9395011879.435001
240,LA,LA SALLE,2008,10691501616.766064
241,LA,LA SALLE,2009,13519605183.762074
242,LA,LA SALLE,2010,16368878777.490326
243,LA,LA SALLE,2011,19352503572.952873
244,LA,LA SALLE,2012,21113163474.520576
245,LA,LA SALLE,2013,17681560731.93844
246,LA,LA SALLE,2014,15399279487.199999
247,LA,LAFAYETTE,2006,2928951447961.019
248,LA,LAFAYETTE,2007,3070691634608.428
249,LA,LAFAYETTE,2008,2766783021948.5903
250,LA,LAFAYETTE,2009,3264424966128.913
251,LA,LAFAYETTE,2010,3476210205424.9805
252,LA,LAFAYETTE,2011,3659873869616.666
253,LA,LAFAYETTE,2012,3759343703252.2275
254,LA,LAFAYETTE,2013,3365227241677.8657
255,LA,LAFAYETTE,2014,2522143557411.2163
256,LA,LAFOURCHE,2006,205248735232.572
257,LA,LAFOURCHE,2007,243190305265.14398
258,LA,LAFOURCHE,2008,278742930757.46844
259,LA,LAFOURCHE,2009,272186109766.6938
260,LA,LAFOURCHE,2010,262908970222.02362
261,LA,LAFOURCHE,2011,308528185846.4925
262,LA,LAFOURCHE,2012,335349832646.8687
263,LA,LAFOURCHE,2013,330632738749.88806
264,LA,LAFOURCHE,2014,269929305807.78738
265,LA,LINCOLN,2006,18089068927.976738
266,LA,LINCOLN,2007,25340378991.414036
267,LA,LINCOLN,2008,28990383192.819748
268,LA,LINCOLN,2009,43869097003.0908
269,LA,LINCOLN,2010,39200939564.589615
270,LA,LINCOLN,2011,37205727833.991264
271,LA,LINCOLN,2012,39596655954.66262
272,LA,LINCOLN,2013,41047891666.8728
273,LA,LINCOLN,2014,36334361552.715
274,LA,LIVINGSTON,2006,607278658251.4833
275,LA,LIVINGSTON,2007,816860883675.9822
276,LA,LIVINGSTON,2008,1207308043030.0928
277,LA,LIVINGSTON,2009,1225057683866.0142
278,LA,LIVINGSTON,2010,1322575544708.8652
279,LA,LIVINGSTON,2011,1889193158591.6958
280,LA,LIVINGSTON,2012,1721912607904.3047
281,LA,LIVINGSTON,2013,1636805273081.4426
282,LA,LIVINGSTON,2014,1506084692586.4263
283,LA,MADISON,2006,625869250.4523001
284,LA,MADISON,2007,698374081.7906126
285,LA,MADISON,2008,909673140.5875
286,LA,MADISON,2009,1266718226.30265
287,LA,MADISON,2010,1601224663.2375
288,LA,MADISON,2011,1664240708.49
289,LA,MADISON,2012,1827600122.596425
290,LA,MADISON,2013,2096451013.745
291,LA,MADISON,2014,1222726349.9999998
292,LA,MOREHOUSE,2006,11215854611.813763
293,LA,MOREHOUSE,2007,14465747218.75
294,LA,MOREHOUSE,2008,16955601168.906277
295,LA,MOREHOUSE,2009,20304468050.259262
296,LA,MOREHOUSE,2010,24232263427.911564
297,LA,MOREHOUSE,2011,25923533033.4052
298,LA,MOREHOUSE,2012,28611392527.925
299,LA,MOREHOUSE,2013,27453663981.64
300,LA,MOREHOUSE,2014,23443601726.753162
301,LA,NATCHITOCHES,2006,13719194102.784626
