,BUYER_STATE,BUYER_COUNTY,YEAR,MME
120,CO,CUSTER,2010,6054.0
121,CO,CUSTER,2011,24216.0
122,CO,CUSTER,2012,36626.700000000004
123,CO,CUSTER,2013,46010.4
124,CO,CUSTER,2014,15158.75
125,CO,DELTA,2006,34094576988.24188
126,CO,DELTA,2007,50690130105.66653
127,CO,DELTA,2008,66787220615.68593
128,CO,DELTA,2009,57218339315.44459
129,CO,DELTA,2010,50445042294.6701
130,CO,DELTA,2011,52228008256.592
131,CO,DELTA,2012,53009941101.78431
132,CO,DELTA,2013,43913612724.14516
133,CO,DELTA,2014,40480565792.31952
134,CO,DENVER,2006,1534197848602.845
135,CO,DENVER,2007,2142326413792.0125
136,CO,DENVER,2008,2612122811123.3457
137,CO,DENVER,2009,3207211861962.6787
138,CO,DENVER,2010,3922267020492.1934
139,CO,DENVER,2011,4685327432398.218
140,CO,DENVER,2012,5179241436386.449
141,CO,DENVER,2013,4584820235978.456
142,CO,DENVER,2014,4081926181078.285
143,CO,DOUGLAS,2006,566222504495.7249
144,CO,DOUGLAS,2007,766608219056.861
145,CO,DOUGLAS,2008,890610095711.2478
146,CO,DOUGLAS,2009,998541310286.8138
147,CO,DOUGLAS,2010,1143087931320.961
148,CO,DOUGLAS,2011,1194089540790.899
149,CO,DOUGLAS,2012,1380290445713.0605
150,CO,DOUGLAS,2013,1216740698243.9597
151,CO,DOUGLAS,2014,1072414639833.6946
152,CO,EAGLE,2006,27842903935.054653
153,CO,EAGLE,2007,38069015420.522
154,CO,EAGLE,2008,44220977418.61021
155,CO,EAGLE,2009,52052207098.752
156,CO,EAGLE,2010,65249437452.543915
157,CO,EAGLE,2011,62825638716.35505
158,CO,EAGLE,2012,65489076919.928406
159,CO,EAGLE,2013,63318983252.049164
160,CO,EAGLE,2014,57229422379.92089
161,CO,EL PASO,2006,4293684161278.1265
162,CO,EL PASO,2007,5562594981453.295
163,CO,EL PASO,2008,6885731700903.381
164,CO,EL PASO,2009,7318128299734.792
165,CO,EL PASO,2010,8673513819003.276
166,CO,EL PASO,2011,10049148339341.875
167,CO,EL PASO,2012,11772034498989.96
168,CO,EL PASO,2013,11660450903127.074
169,CO,EL PASO,2014,11523504295623.117
170,CO,ELBERT,2006,1190022135.1475
171,CO,ELBERT,2007,1806332068.7001624
172,CO,ELBERT,2008,2192338625.926075
173,CO,ELBERT,2009,3082249181.5002747
174,CO,ELBERT,2010,5400020580.025
175,CO,ELBERT,2011,5982769891.67
176,CO,ELBERT,2012,5845272212.4033375
177,CO,ELBERT,2013,4775447742.438125
178,CO,ELBERT,2014,6361472742.772125
179,CO,FREMONT,2006,51813387623.7384
180,CO,FREMONT,2007,63336091900.9412
181,CO,FREMONT,2008,84919456423.6155
182,CO,FREMONT,2009,95570010479.32695
183,CO,FREMONT,2010,98406121937.731
184,CO,FREMONT,2011,114039559181.95001
185,CO,FREMONT,2012,116842910676.81238
186,CO,FREMONT,2013,99110701306.03879
187,CO,FREMONT,2014,83261004756.02
188,CO,GARFIELD,2006,68365352634.91544
189,CO,GARFIELD,2007,101647577908.99759
190,CO,GARFIELD,2008,110216017153.12498
191,CO,GARFIELD,2009,98991899212.75604
192,CO,GARFIELD,2010,104115392177.75687
193,CO,GARFIELD,2011,107096494698.30177
194,CO,GARFIELD,2012,102160300465.97697
195,CO,GARFIELD,2013,81313925688.84149
196,CO,GARFIELD,2014,72695625562.49649
197,CO,GILPIN,2006,22811873.018
198,CO,GILPIN,2007,20831983.158
199,CO,GILPIN,2008,9272273.985
200,CO,GILPIN,2009,36022069.3625
201,CO,GILPIN,2010,70643545.6625
202,CO,GILPIN,2011,217880744.8125
203,CO,GILPIN,2012,138397365.75
204,CO,GILPIN,2013,17819654.874999996
205,CO,GILPIN,2014,3276885.9999999995
206,CO,GRAND,2006,2063600428.7870002
207,CO,GRAND,2007,2498699491.7599998
208,CO,GRAND,2008,3510806680.557625
209,CO,GRAND,2009,2636841997.9030247
210,CO,GRAND,2010,2633132639.9529996
211,CO,GRAND,2011,2628977662.881525
212,CO,GRAND,2012,2943865709.193325
213,CO,GRAND,2013,2788830335.3
214,CO,GRAND,2014,1850510152.7434502
215,CO,GUNNISON,2006,2100622577.88
216,CO,GUNNISON,2007,1995538100.22
217,CO,GUNNISON,2008,2275408725.3825
218,CO,GUNNISON,2009,3067341594.1175003
219,CO,GUNNISON,2010,3511423629.64125
220,CO,GUNNISON,2011,3442415757.2325006
221,CO,GUNNISON,2012,3383655530.5712495
222,CO,GUNNISON,2013,2774378596.7346
223,CO,GUNNISON,2014,2452318926.1767626
224,CO,HINSDALE,2006,4086.4500000000003
225,CO,HINSDALE,2007,6175.08
226,CO,HINSDALE,2008,32419.170000000002
227,CO,HINSDALE,2009,32691.6
228,CO,HINSDALE,2010,7870.200000000001
229,CO,HINSDALE,2011,12259.35
230,CO,HINSDALE,2012,6356.700000000001
231,CO,HINSDALE,2013,8172.900000000001
232,CO,HINSDALE,2014,6054.0
233,CO,HUERFANO,2006,980204133.0999999
234,CO,HUERFANO,2007,869078971.25
235,CO,HUERFANO,2008,1213466781.5
236,CO,HUERFANO,2009,1466510673.75
237,CO,HUERFANO,2010,2463872166.5249996
238,CO,HUERFANO,2011,3597989281.6875
239,CO,HUERFANO,2012,3704494836.597375
240,CO,HUERFANO,2013,3882879825.1101503
241,CO,HUERFANO,2014,3044015509.8325
242,CO,JEFFERSON,2006,6457589377132.367
243,CO,JEFFERSON,2007,8611890016974.64
244,CO,JEFFERSON,2008,9991118020650.473
245,CO,JEFFERSON,2009,10482905566762.479
246,CO,JEFFERSON,2010,11039436309073.031
247,CO,JEFFERSON,2011,12998246626682.57
248,CO,JEFFERSON,2012,14743958303290.701
249,CO,JEFFERSON,2013,13081802429736.234
250,CO,JEFFERSON,2014,12103254778509.75
251,CO,KIOWA,2006,37256664.9
252,CO,KIOWA,2007,73437163.62499999
253,CO,KIOWA,2008,110340443.7
254,CO,KIOWA,2009,132822784.3375
255,CO,KIOWA,2010,182222852.6890625
256,CO,KIOWA,2011,172133517.32500002
257,CO,KIOWA,2012,115012380.51885
258,CO,KIOWA,2013,182640379.50000003
