,BUYER_STATE,BUYER_COUNTY,MONTH,YEAR,MME_monthly
120,WA,ASOTIN,1,2007,2853195.6750000003
121,WA,ASOTIN,2,2007,91128216.0
122,WA,ASOTIN,3,2007,72924048.39999999
123,WA,ASOTIN,4,2007,76994576.7
124,WA,ASOTIN,5,2007,120892194.3
125,WA,ASOTIN,6,2007,129298315.57499999
126,WA,ASOTIN,7,2007,135559872.15
127,WA,ASOTIN,8,2007,86519158.125
128,WA,ASOTIN,9,2007,89495752.375
129,WA,ASOTIN,10,2007,199573776.29999998
130,WA,ASOTIN,11,2007,293535425.0
131,WA,ASOTIN,12,2007,204864033.25
132,WA,ASOTIN,1,2008,136337.1
133,WA,ASOTIN,2,2008,94155643.80999999
134,WA,ASOTIN,3,2008,116598830.3325
135,WA,ASOTIN,4,2008,113830805.32499999
136,WA,ASOTIN,5,2008,112286880.525
137,WA,ASOTIN,6,2008,117329648.75
138,WA,ASOTIN,7,2008,123528229.9875
139,WA,ASOTIN,8,2008,119838641.1
140,WA,ASOTIN,9,2008,139358966.9
141,WA,ASOTIN,10,2008,261992916.38844997
142,WA,ASOTIN,11,2008,219373616.4375
143,WA,ASOTIN,12,2008,260376505.55
144,WA,ASOTIN,1,2009,1671955.9499999997
145,WA,ASOTIN,2,2009,108394368.0
146,WA,ASOTIN,3,2009,137087658.65
147,WA,ASOTIN,4,2009,208285515.5625
148,WA,ASOTIN,5,2009,145096184.1875
149,WA,ASOTIN,6,2009,162164699.31249997
150,WA,ASOTIN,7,2009,166634116.0625
151,WA,ASOTIN,8,2009,134423944.2
152,WA,ASOTIN,9,2009,223669396.375
153,WA,ASOTIN,10,2009,333448351.5625
154,WA,ASOTIN,11,2009,360534649.78749996
155,WA,ASOTIN,12,2009,346128989.58
156,WA,ASOTIN,1,2010,2982517.4125000006
157,WA,ASOTIN,2,2010,347316812.8
158,WA,ASOTIN,3,2010,358834776.0
159,WA,ASOTIN,4,2010,360942481.05
160,WA,ASOTIN,5,2010,386581293.0
161,WA,ASOTIN,6,2010,475599098.0979125
162,WA,ASOTIN,7,2010,403999448.62500006
163,WA,ASOTIN,8,2010,479464985.99999994
164,WA,ASOTIN,9,2010,465291068.4
165,WA,ASOTIN,10,2010,708084114.92
166,WA,ASOTIN,11,2010,762244342.075
